Station_Code,Station_Name,Short,Medium,Long,Total_Distinct_Trains,Pct_Short,Pct_Medium,Pct_Long
BE,BAREILLY JN.,6,16,148,170,3.5,9.4,87.1
GDY,GUINDY,169,0,1,170,99.4,0.0,0.6
MN,MINAMBAKKAM,169,0,0,169,100.0,0.0,0.0
TLM,TIRUSULAM,169,0,0,169,100.0,0.0,0.0
BSP,BILASPUR JN.,9,35,125,169,5.3,20.7,74.0
MPK,CHENNAI PARK,169,0,0,169,100.0,0.0,0.0
MSC,CHENNAI CHET,169,0,0,169,100.0,0.0,0.0
SP,SAIDAPET,169,0,0,169,100.0,0.0,0.0
PZA,PALAVANTHANG,169,0,0,169,100.0,0.0,0.0
NBK,NUNGAMBAKKAM,169,0,0,169,100.0,0.0,0.0
MSF,CHENNAI FORT,169,0,0,169,100.0,0.0,0.0
TBMS,TAMBARAM SAN,168,0,0,168,100.0,0.0,0.0
CMP,CHROMEPET,168,0,0,168,100.0,0.0,0.0
VAPI,VAPI,14,14,139,167,8.4,8.4,83.2
SBC,KRANTIVIRA S,15,40,112,167,9.0,24.0,67.1
KPA,KANCHRAPARA,6,148,12,166,3.6,89.2,7.2
KYI,KALYANI JN.,6,148,12,166,3.6,89.2,7.2
KTE,KATNI,7,20,138,165,4.2,12.1,83.6
KJT,KARJAT,92,14,58,164,56.1,8.5,35.4
KIUL,KIUL JN.,10,15,139,164,6.1,9.1,84.8
AWY,ALWAYE,7,17,140,164,4.3,10.4,85.4
DURG,DURG,18,29,116,163,11.0,17.8,71.2
STA,SATNA,7,25,131,163,4.3,15.3,80.4
PGT,PALAKKAD JN,5,18,139,162,3.1,11.1,85.8
DDC,DUMDUM CANTO,53,108,0,161,32.9,67.1,0.0
BMT,BEGAMPET,80,39,41,160,50.0,24.4,25.6
JUC,JALANDHAR CI,20,40,100,160,12.5,25.0,62.5
GWL,GWALIOR JN,13,26,121,160,8.1,16.2,75.6
TUP,TIRUPPUR,6,14,140,160,3.8,8.8,87.5
LPI,LINGAMPALLI,81,40,39,160,50.6,25.0,24.4
MMG,MADHYAM GRAM,51,108,0,159,32.1,67.9,0.0
BBT,BIRATI,51,108,0,159,32.1,67.9,0.0
GAYA,GAYA JN.,4,41,113,158,2.5,25.9,71.5
JGDL,JAGADAL,41,116,1,158,25.9,73.4,0.6
DGR,DURGAPUR,4,32,122,158,2.5,20.3,77.2
LNL,LONAVLA,18,45,94,157,11.5,28.7,59.9
SRE,SAHARANPUR J,3,16,137,156,1.9,10.3,87.8
BRP,BARUIPUR JN.,52,104,0,156,33.3,66.7,0.0
JSME,JASIDIH JN.,24,24,108,156,15.4,15.4,69.2
TLA,TITVALA,152,1,2,155,98.1,0.6,1.3
CPR,CHHAPRA JN.,10,16,129,155,6.5,10.3,83.2
HC,HINDU COLLEG,88,67,0,155,56.8,43.2,0.0
BH,BHARUCH JN.,9,20,126,155,5.8,12.9,81.3
PRWS,PATTABIRAM W,60,95,0,155,38.7,61.3,0.0
PNC,PATNA SAHEB,5,24,125,154,3.2,15.6,81.2
BPQ,BALHARSHAH,11,16,127,154,7.1,10.4,82.5
SLO,SAMALKOT JN.,4,21,127,152,2.6,13.8,83.6
KYJ,KAYANKULAM J,8,29,115,152,5.3,19.1,75.7
BLS,BALASORE,4,30,118,152,2.6,19.7,77.6
NJP,NEW JALPAIGU,6,19,126,151,4.0,12.6,83.4
WL,WARANGAL,10,20,121,151,6.6,13.2,80.1
MFP,MUZAFFARPUR,7,19,123,149,4.7,12.8,82.6
EE,ELURU,3,23,122,148,2.0,15.5,82.4
HLR,HALISAHAR,4,139,5,148,2.7,93.9,3.4
TPJ,TIRUCHIRAPPA,8,38,101,147,5.4,25.9,68.7
BUD,BADLAPUR,140,3,4,147,95.2,2.0,2.7
BINA,BINA,6,24,117,147,4.1,16.3,79.6
TPTY,TIRUPATI,6,32,109,147,4.1,21.8,74.1
SBGR,SUBHASGRAM,47,99,0,146,32.2,67.8,0.0
MAK,MALLIKPUR,47,99,0,146,32.2,67.8,0.0
JL,JALGAON JN.,5,9,131,145,3.4,6.2,90.3
BAM,BERHAMPUR,6,29,110,145,4.1,20.0,75.9
BBAE,BAIDYABATI,86,58,0,144,59.7,40.3,0.0
BHR,BHADRESHWAR,86,58,0,144,59.7,40.3,0.0
DGNR,DURGANAGAR,51,93,0,144,35.4,64.6,0.0
MUU,MANKUNDU,86,57,0,143,60.1,39.9,0.0
HGY,HOOGHLY,86,57,0,143,60.1,39.9,0.0
BVI,BORIVLI,5,9,129,143,3.5,6.3,90.2
TEL,TENALI JN.,25,15,103,143,17.5,10.5,72.0
SRR,SHORANUR JN.,11,25,106,142,7.7,17.6,74.6
KNW,KHANDWA JN.,8,14,120,142,5.6,9.9,84.5
TATA,TATANAGAR JN,10,34,97,141,7.1,24.1,68.8
G,GONDIA JN.,3,32,106,141,2.1,22.7,75.2
HHR,HRIDAYPUR,48,91,0,139,34.5,65.5,0.0
LTT,LOKMANYA TIL,6,18,115,139,4.3,12.9,82.7
NK,NASIK ROAD,8,16,115,139,5.8,11.5,82.7
BL,VALSAD,7,11,121,139,5.0,7.9,87.1
DD,DAUND JN.,8,23,107,138,5.8,16.7,77.5
ERS,ERNAKULAM. J,7,31,99,137,5.1,22.6,72.3
BRPK,BISHARPARA-K,50,87,0,137,36.5,63.5,0.0
NBE,NEW BARRACKP,50,87,0,137,36.5,63.5,0.0
KIR,KATIHAR JN.,6,46,84,136,4.4,33.8,61.8
MCA,MECHEDA,3,109,24,136,2.2,80.1,17.6
JRC,JALANDHAR CA,16,17,102,135,11.9,12.6,75.6
SWM,SAWAI MADHOP,8,10,117,135,5.9,7.4,86.7
GD,GONDA JN.,6,12,117,135,4.4,8.9,86.7
AK,AKOLA JN.,4,5,125,134,3.0,3.7,93.3
ULB,ULUBARIA,14,108,12,134,10.4,80.6,9.0
HJP,HAJIPUR JN.,6,15,112,133,4.5,11.3,84.2
VM,VILLUPURAM J,9,13,111,133,6.8,9.8,83.5
CDH,CHAKDAHA,4,117,12,133,3.0,88.0,9.0
RPH,RAMPUR HAT,3,40,88,131,2.3,30.5,67.2
BHC,BHADRAKH,5,25,100,130,3.8,19.2,76.9
PKU,PANSKURA,2,97,30,129,1.6,75.2,23.3
KNE,KISHANGANJ,5,14,110,129,3.9,10.9,85.3
RE,REWARI JN.,1,31,97,129,0.8,24.0,75.2
AII,AJMER JN.,6,22,99,127,4.7,17.3,78.0
ASR,AMRITSAR JN.,6,31,90,127,4.7,24.4,70.9
NAD,NAGDA JN,5,13,108,126,4.0,10.3,85.7
MLDT,MALDA TOWN,2,14,110,126,1.6,11.1,87.3
BSR,VASAI ROAD,16,18,92,126,12.7,14.3,73.0
KZJ,KAZIPET JN.,3,18,104,125,2.4,14.4,83.2
UJN,UJJAIN JN,6,19,99,124,4.8,15.3,79.8
HFZ,HAFIZPETA,80,34,10,124,64.5,27.4,8.1
JSG,JHARSUGUDA J,9,14,101,124,7.3,11.3,81.5
BZN,BAGNAN,6,104,12,122,4.9,85.2,9.8
BD,BADNERA JN.,18,6,98,122,14.8,4.9,80.3
MDP,MADHUPUR JN.,14,14,94,122,11.5,11.5,77.0
SBB,SAHIBABAD,36,41,44,121,29.8,33.9,36.4
SMX,SIMURALI,4,113,4,121,3.3,93.4,3.3
ERN,ERNAKULAM TO,5,15,101,121,4.1,12.4,83.5
GTL,GUNTAKAL JN.,9,10,102,121,7.4,8.3,84.3
NBQ,NEW BONGAIGA,6,9,106,121,5.0,7.4,87.6
RPM,ROYAPURAM,29,91,0,120,24.2,75.8,0.0
WST,WASHERMANPET,29,91,0,120,24.2,75.8,0.0
GHY,GUWAHATI,4,9,106,119,3.4,7.6,89.1
HYB,HYDERABAD DE,59,7,52,118,50.0,5.9,44.1
PNP,PANIPAT JN.,3,30,85,118,2.5,25.4,72.0
FM,FALAKNUMA,60,40,18,118,50.8,33.9,15.3
TDL,TUNDLA JN,8,17,93,118,6.8,14.4,78.8
MSH,MAHESANA JN,16,21,81,118,13.6,17.8,68.6
MKA,MOKAMA JN.,7,17,94,118,5.9,14.4,79.7
PTLR,PUTTLUR,55,62,0,117,47.0,53.0,0.0
KJM,KRISHNA RAJA,11,32,74,117,9.4,27.4,63.2
BWT,BANGARPET JN,20,30,67,117,17.1,25.6,57.3
VEU,VEPPAMPATTU,55,62,0,117,47.0,53.0,0.0
SVR,SEVVAPET ROA,55,62,0,117,47.0,53.0,0.0
KTYM,KOTTAYAM,4,21,91,116,3.4,18.1,78.4
PDX,PAYRA DANGA,2,109,4,115,1.7,94.8,3.5
VG,VIRAMGAM JN,2,10,103,115,1.7,8.7,89.6
SUR,SOLAPUR,6,17,92,115,5.2,14.8,80.0
DNR,DANAPUR,9,16,90,115,7.8,13.9,78.3
ADL,ANDUL,14,97,4,115,12.2,84.3,3.5
MPJ,MADANPUR,2,109,4,115,1.7,94.8,3.5
BKP,BAKHTIYARPUR,3,18,93,114,2.6,15.8,81.6
CLT,CALICUT,8,13,93,114,7.0,11.4,81.6
BVA,BAURIA JN,13,95,6,114,11.4,83.3,5.3
ROU,ROURKELA,6,18,90,114,5.3,15.8,78.9
JAJ,JHAJHA,6,8,100,114,5.3,7.0,87.7
MAO,MADGOAN JN.,8,22,84,114,7.0,19.3,73.7
DKAE,DANKUNI JN.,56,57,0,113,49.6,50.4,0.0
