Train_No,Start_Station_Code,Start_Station_Name,Start_Departure_Time,End_Station_Code,End_Station_Name,End_Arrival_Time,Midnight_Rollover,Duration_Minutes,Duration_Hours,Duration_Computable,Duration_Status,Total_Distance_km,Route_Type,Classification_Basis
66028,SPE,SULLURUPETTA,19:55:00,MMCC,MOOR MARKET,21:55:00,False,120.0,2.0,True,Valid (Same Day),82.0,Medium,Duration
66029,SPE,SULLURUPETTA,08:00:00,NLR,NELLORE,09:45:00,False,105.0,1.75,True,Valid (Same Day),93.0,Medium,Duration
66030,NLR,NELLORE,10:00:00,SPE,SULLURUPETTA,11:45:00,False,105.0,1.75,True,Valid (Same Day),93.0,Medium,Duration
66031,SPE,SULLURUPETTA,15:45:00,NLR,NELLORE,17:25:00,False,100.0,1.67,True,Valid (Same Day),93.0,Medium,Duration
66032,NLR,NELLORE,17:50:00,SPE,SULLURUPETTA,19:50:00,False,120.0,2.0,True,Valid (Same Day),93.0,Medium,Duration
66033,TPTY,TIRUPATI,11:30:00,NLR,NELLORE,14:50:00,False,200.0,3.33,True,Valid (Same Day),131.0,Medium,Duration
66034,NLR,NELLORE,12:30:00,TPTY,TIRUPATI,15:55:00,False,205.0,3.42,True,Valid (Same Day),131.0,Medium,Duration
66035,MMCC,MOOR MARKET,07:45:00,SPE,SULLURUPETTA,09:55:00,False,130.0,2.17,True,Valid (Same Day),82.0,Medium,Duration
66036,SPE,SULLURUPETTA,18:35:00,MMCC,MOOR MARKET,20:45:00,False,130.0,2.17,True,Valid (Same Day),82.0,Medium,Duration
66037,SPE,SULLURUPETTA,10:05:00,NLR,NELLORE,12:00:00,False,115.0,1.92,True,Valid (Same Day),93.0,Medium,Duration
66038,NLR,NELLORE,16:00:00,SPE,SULLURUPETTA,18:20:00,False,140.0,2.33,True,Valid (Same Day),93.0,Medium,Duration
66039,AJJ,ARAKKONAM JN,09:15:00,TPTY,TIRUPATI,11:15:00,False,120.0,2.0,True,Valid (Same Day),78.0,Medium,Duration
66040,AJJ,ARAKKONAM JN,18:40:00,MMCC,MOOR MARKET,20:30:00,False,110.0,1.83,True,Valid (Same Day),68.0,Medium,Duration
66041,MSB,CHENNAI BEAC,09:50:00,TMLP,TIRUMALPUR,13:05:00,False,195.0,3.25,True,Valid (Same Day),108.0,Medium,Duration
66042,TMLP,TIRUMALPUR,13:45:00,MSB,CHENNAI BEAC,16:40:00,False,175.0,2.92,True,Valid (Same Day),108.0,Medium,Duration
66043,MSB,CHENNAI BEAC,08:25:00,MLMR,MELMARUVATHU,11:05:00,False,160.0,2.67,True,Valid (Same Day),95.0,Medium,Duration
66044,MLMR,MELMARUVATHU,15:30:00,MSB,CHENNAI BEAC,17:50:00,False,140.0,2.33,True,Valid (Same Day),95.0,Medium,Duration
66045,MLMR,MELMARUVATHU,11:30:00,VM,VILLUPURAM J,13:05:00,False,95.0,1.58,True,Valid (Same Day),67.0,Medium,Duration
66046,VM,VILLUPURAM J,13:55:00,MLMR,MELMARUVATHU,15:15:00,False,80.0,1.33,True,Valid (Same Day),67.0,Short,Duration
