Category,Train_No,Stop_Count,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name
MINIMUM_STOPS,98094,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98095,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98096,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98097,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98098,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98099,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98100,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98101,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98102,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98103,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98104,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98105,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98106,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98107,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98108,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98109,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98110,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98111,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98112,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98113,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98114,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98115,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98116,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98117,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98118,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98119,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98120,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98121,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98122,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98123,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98124,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98125,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98126,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98127,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98128,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98129,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98130,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98131,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98132,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98133,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98134,2,PNVL,PANVEL,VDLR,MUMBAI VADAL
MINIMUM_STOPS,98135,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98136,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98137,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98138,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98139,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98140,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98141,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98142,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98143,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98144,2,PNVL,PANVEL,VDLR,MUMBAI VADAL
MINIMUM_STOPS,98145,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98146,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98147,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98148,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98149,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98150,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98151,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98152,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98153,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98154,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98155,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98156,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98157,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98158,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98159,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98160,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98161,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98162,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98163,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98164,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98165,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98166,2,PNVL,PANVEL,VSH,VASHI
MINIMUM_STOPS,98167,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98168,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98169,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98170,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98171,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98172,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98173,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98174,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98175,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98176,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98177,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98178,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98179,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98180,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98181,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98182,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98183,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98184,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98185,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98186,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98187,2,VDLR,MUMBAI VADAL,PNVL,PANVEL
MINIMUM_STOPS,98188,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98189,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98190,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98191,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98192,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98193,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98194,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98195,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98196,2,PNVL,PANVEL,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98197,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98198,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98199,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98200,2,PNVL,PANVEL,VSH,VASHI
MINIMUM_STOPS,98201,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98202,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98203,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98204,2,PNVL,PANVEL,CSMT,CST-MUMBAI
MINIMUM_STOPS,98205,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98207,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98208,2,PNVL,PANVEL,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98209,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98211,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98213,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98214,2,PNVL,PANVEL,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98215,2,CSMT,CST-MUMBAI,PNVL,PANVEL
MINIMUM_STOPS,98300,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98301,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98302,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98303,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98304,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98305,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98306,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98307,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98308,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98309,2,VDLR,MUMBAI VADAL,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98310,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98311,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98312,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98313,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98314,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98315,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98316,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98317,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98318,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98319,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98320,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98321,2,VDLR,MUMBAI VADAL,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98322,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98323,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98324,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98325,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98326,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98327,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98328,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98329,2,VDLR,MUMBAI VADAL,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98330,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98331,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98332,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98333,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98334,2,BEPR,BELAPUR C.B.,VDLR,MUMBAI VADAL
MINIMUM_STOPS,98335,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98336,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98337,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98338,2,BEPR,BELAPUR C.B.,VDLR,MUMBAI VADAL
MINIMUM_STOPS,98339,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98340,2,BEPR,BELAPUR C.B.,VDLR,MUMBAI VADAL
MINIMUM_STOPS,98341,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98342,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98343,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98344,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98345,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98346,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98347,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98348,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98349,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98350,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98351,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98352,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98353,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98354,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98355,2,VDLR,MUMBAI VADAL,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98356,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98357,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
MINIMUM_STOPS,98358,2,BEPR,BELAPUR C.B.,CSMT,CST-MUMBAI
MINIMUM_STOPS,98359,2,CSMT,CST-MUMBAI,BEPR,BELAPUR C.B.
